conc,ch1
536.5,1.681726444908588
537.5,1.6817279682893096
538.5,1.6817294820867439
539.5,1.681730986378792
540.5,1.6817324812425793
541.5,1.6817339667544646
542.5,1.6817354429900488
543.5,1.681736910024184
544.5,1.6817383679309823
545.5,1.6817398167838244
546.5,1.6817412566553684
547.5,1.6817426876175576
548.5,1.6817441097416292
549.5,1.6817455230981229
550.5,1.6817469277568882
551.5,1.6817483237870927
552.5,1.6817497112572306
553.5,1.6817510902351291
554.5,1.6817524607879575
555.5,1.681753822982234
556.5,1.681755176883833
557.5,1.6817565225579931
558.5,1.681757860069324
559.5,1.6817591894818136
560.5,1.681760510858835
561.5,1.6817618242631542
562.5,1.681763129756936
563.5,1.6817644274017514
564.5,1.681765717258584
565.5,1.6817669993878372
566.5,1.6817682738493405
567.5,1.6817695407023547
568.5,1.6817708000055807
569.5,1.6817720518171635
570.5,1.6817732961947
571.5,1.6817745331952443
572.5,1.6817757628753136
573.5,1.681776985290895
574.5,1.6817782004974509
575.5,1.6817794085499242
576.5,1.6817806095027454
577.5,1.681781803409837
578.5,1.6817829903246204
579.5,1.6817841703000196
580.5,1.6817853433884689
581.5,1.6817865096419158
582.5,1.6817876691118288
583.5,1.6817888218492008
584.5,1.6817899679045551
585.5,1.6817911073279508
586.5,1.6817922401689869
587.5,1.681793366476808
588.5,1.6817944863001093
589.5,1.6817955996871408
590.5,1.681796706685713
591.5,1.6817978073432005
592.5,1.6817989017065484
593.5,1.681799989822275
594.5,1.681801071736478
595.5,1.6818021474948373
596.5,1.6818032171426216
597.5,1.6818042807246907
598.5,1.6818053382855016
599.5,1.6818063898691114
600.5,1.6818074355191825
601.5,1.6818084752789861
602.5,1.6818095091914071
603.5,1.6818105372989476
604.5,1.6818115596437309
605.5,1.6818125762675058
606.5,1.6818135872116506
607.5,1.681814592517177
608.5,1.681815592224733
609.5,1.6818165863746086
610.5,1.6818175750067377
611.5,1.6818185581607024
612.5,1.681819535875737
613.5,1.681820508190732
614.5,1.6818214751442366
615.5,1.6818224367744625
616.5,1.6818233931192883
617.5,1.6818243442162615
618.5,1.6818252901026034
619.5,1.6818262308152112
620.5,1.6818271663906623
621.5,1.6818280968652173
622.5,1.6818290222748224
623.5,1.6818299426551142
624.5,1.6818308580414214
625.5,1.6818317684687687
626.5,1.6818326739718799
627.5,1.6818335745851807
628.5,1.6818344703428019
629.5,1.6818353612785824
630.5,1.6818362474260715
631.5,1.6818371288185334
632.5,1.6818380054889481
633.5,1.6818388774700161
634.5,1.68183974479416
635.5,1.681840607493527
636.5,1.6818414655999936
637.5,1.6818423191451661
638.5,1.6818431681603843
639.5,1.6818440126767247
640.5,1.6818448527250016
641.5,1.6818456883357713
642.5,1.681846519539334
643.5,1.6818473463657357
644.5,1.6818481688447722
645.5,1.6818489870059896
646.5,1.6818498008786893
647.5,1.6818506104919277
648.5,1.6818514158745206
649.5,1.6818522170550447
650.5,1.6818530140618402
651.5,1.681853806923013
652.5,1.6818545956664366
653.5,1.6818553803197556
654.5,1.6818561609103864
655.5,1.6818569374655206
656.5,1.6818577100121266
657.5,1.681858478576952
658.5,1.6818592431865251
659.5,1.6818600038671587
660.5,1.6818607606449496
661.5,1.6818615135457835
662.5,1.6818622625953346
663.5,1.6818630078190693
664.5,1.6818637492422477
665.5,1.6818644868899248
666.5,1.6818652207869538
667.5,1.6818659509579872
668.5,1.6818666774274786
669.5,1.6818674002196856
670.5,1.68186811935867
671.5,1.6818688348683013
672.5,1.6818695467722575
673.5,1.6818702550940274
674.5,1.6818709598569122
675.5,1.6818716610840276
676.5,1.6818723587983047
677.5,1.6818730530224928
678.5,1.6818737437791602
679.5,1.6818744310906968
